lotNumber,vendor,name,vendorItemNo,quantity,price,type
10001J,NE,rifaximin 550 mg tablet; 56,Xifaxan,56,436.72,Medication
10003L,NV,dabrafenib 75 mg capsule; 120,Tafinlar,120,8612.17,Medication
10004M,PF,sunitinib 12.5 mg capsule; 28,Sutent,28,1603.45,Medication
10005N,MK,olmesartan medoxomil 20 mg + amlodipine 5 mg + hydrochlorothiazide 12.5 mg tablet; 30,Sevikar HCT 20/5/12.5,30,10.14,Medication
10007Q,MF,fluticasone propionate 125 microgram/actuation + eformoterol fumarate dihydrate 5 microgram/actuation pressurised inhalation; 120 actuations,flutiform 125/5,1,36.91,Medication
10008R,MF,fluticasone propionate 250 microgram/actuation + eformoterol fumarate dihydrate 10 microgram/actuation pressurised inhalation; 120 actuations,flutiform 250/10,1,53.22,Medication
10009T,PF,sunitinib 12.5 mg capsule; 28,Sutent,28,1603.45,Medication
10010W,PF,sunitinib 50 mg capsule; 28,Sutent,28,6413.53,Medication
10011X,AP,dapagliflozin 10 mg tablet; 28,Forxiga,28,43.88,Medication
10012Y,SE,ivabradine 5 mg tablet; 56,Coralan,56,42,Medication
10013B,FK,benzatropine mesilate 2 mg/2 mL injection; 10 x 2 mL vials,Benztropine Omega,10,232.28,Medication
10014C,RO,erlotinib 150 mg tablet; 30,Tarceva,30,1310.46,Medication
10015D,AP,budesonide 100 microgram/actuation + eformoterol fumarate dihydrate 3 microgram/actuation pressurised inhalation; 120 actuations,Symbicort Rapihaler 100/3,2,21.02,Medication
10018G,AP,budesonide 200 microgram/actuation + eformoterol fumarate dihydrate 6 microgram/actuation pressurised inhalation; 120 actuations,Symbicort Rapihaler 200/6,2,33.18,Medication
10019H,RO,erlotinib 100 mg tablet; 30,Tarceva,30,1059.28,Medication
1001Q,BQ,fluphenazine decanoate 50 mg/2 mL injection; 5 x 2 mL ampoules,Modecate,5,24,Medication
10020J,RO,erlotinib 100 mg tablet; 30,Tarceva,30,1059.28,Medication
10022L,RO,erlotinib 25 mg tablet; 30,Tarceva,30,291.85,Medication
